customerId,age,creditScore,occupation,totalIncome
192704496900,28,755,SALARIED,15000
192704531037,34,763,SALARIED,2
192709779361,26,760,SALARIED,12000
192711616181,46,762,SALARIED,15000
192778098297,49,762,SALARIED,11558
192778333835,43,755,SALARIED,0
192782342643,26,764,SALARIED,0
192826362808,39,760,SALARIED,0
192832313763,33,760,SALARIED,303380
193116010969,35,760,SALARIED,0
193116043692,35,800,SALARIED,0
193146088116,27,760,SALARIED,15000
193189517021,30,755,SALARIED,19000
193189851085,39,777,SALARIED,42000
193238133108,31,760,SALARIED,0
193239791996,34,764,SALARIED,0
193240569050,49,778,SALARIED,27266
193243655045,53,791,SALARIED,0
193935528938,40,760,SALARIED,0
193942620685,47,798,SALARIED,0
193943467393,48,764,SALARIED,20500
194056220671,34,763,SALARIED,18000
194057644609,39,756,SALARIED,18210
194757033904,29,755,SALARIED,0
194761648578,44,762,SALARIED,22000
194781183051,39,754,SALARIED,150001
194781756772,31,760,SALARIED,0
194785789986,30,760,SALARIED,13000
194788473586,36,760,SALARIED,0
194830026687,44,764,SALARIED,25000
194877924120,41,789,SALARIED,25000
194879472276,29,783,SALARIED,0
194881152434,26,755,SALARIED,15000
199682441781,35,760,SALARIED,0
199685354290,29,763,SALARIED,0
199708677268,29,755,SALARIED,22000
199752666797,30,755,SALARIED,15000
199753874779,29,782,SALARIED,0
199754110911,30,756,SALARIED,15000
199802144413,43,763,SALARIED,20000
199802371669,57,762,SALARIED,0
199805998040,29,759,SALARIED,0
199806233559,40,763,SALARIED,18000
200093216884,36,760,SALARIED,0
200114729174,31,760,SALARIED,18000
200115915262,39,760,SALARIED,24000
200121829294,33,763,SALARIED,12000
200121845199,45,789,SALARIED,51965
200163020496,28,771,SALARIED,15000
200167274949,29,760,SALARIED,26000
200170960122,28,765,SALARIED,0
200212302306,47,762,SALARIED,0
200218384527,28,755,SALARIED,12000
200912693976,59,760,SALARIED,878860
200913898306,26,764,SALARIED,0
200915530597,26,760,SALARIED,15000
200935442133,26,755,SALARIED,17500
200937608765,37,787,SALARIED,82620
200937678430,47,792,SALARIED,21581
200943262762,28,755,SALARIED,0
200985121715,47,762,SALARIED,23100
201032818881,29,757,SALARIED,20000
201033411421,28,755,SALARIED,25000
201037004165,53,792,SALARIED,0
201039086208,38,753,SALARIED,0
201852646556,29,755,SALARIED,10000
201853823891,49,789,SALARIED,0
213633203867,26,755,SALARIED,10000
213634224673,42,762,SALARIED,15000
213639634958,35,756,SALARIED,0
213655917880,28,760,SALARIED,16166
213657355313,45,789,SALARIED,0
213704186302,40,775,SALARIED,0
213709453866,29,755,SALARIED,8000
213712076030,29,760,SALARIED,35000
213755086192,34,760,SALARIED,12700
213757556884,29,755,SALARIED,0
214042127859,35,760,SALARIED,14000
214044550219,40,760,SALARIED,0
214047130257,30,763,SALARIED,16000
214066245008,35,760,SALARIED,9500
214071301609,44,764,SALARIED,18000
214071719224,31,816,SALARIED,25000
214114540253,34,760,SALARIED,0
214115561685,53,762,SALARIED,0
214115971167,37,831,SALARIED,20636
214167073844,34,763,SALARIED,30000
214167915773,26,755,SALARIED,0
214886957273,38,760,SALARIED,20000
214892026080,34,760,SALARIED,35000
214935990102,33,760,SALARIED,15000
214936643525,40,805,SALARIED,0
214937792307,55,759,SALARIED,144000
214939457011,31,760,SALARIED,15700
214942300757,26,772,SALARIED,0
214987762762,36,760,SALARIED,0
214990576183,42,800,SALARIED,0
214990587797,33,760,SALARIED,22000
215683472704,45,789,SALARIED,50614
215684337510,42,762,SALARIED,60000
215709874975,38,760,SALARIED,50000
215714710235,32,760,SALARIED,18000
215755873869,26,762,SALARIED,14000
215757323256,44,763,SALARIED,0
215760135993,51,762,SALARIED,22900
215760143251,40,762,SALARIED,0
215762985542,28,760,SALARIED,16700
215763981799,47,756,SALARIED,0
215805599801,28,782,SALARIED,0
215811248244,28,755,SALARIED,30000
215812032159,42,762,SALARIED,32000
227584295387,38,760,SALARIED,0
227585898669,59,751,SALARIED,0
227587576948,27,783,SALARIED,0
227614534233,46,777,SALARIED,0
227615529333,30,755,SALARIED,0
227655701745,34,759,SALARIED,50000
227656885806,31,783,SALARIED,266076
227657145640,34,756,SALARIED,28000
227659971511,35,763,SALARIED,20000
227663656505,34,770,SALARIED,0
227704002420,29,763,SALARIED,0
227993651803,37,760,SALARIED,29010
227995048092,31,775,SALARIED,0
228000727540,36,775,SALARIED,0
228001733905,33,763,SALARIED,16500
228022044467,48,772,SALARIED,55315
228024870424,57,752,SALARIED,133000
228119450458,36,763,SALARIED,11000
228815084764,33,760,SALARIED,0
228838437692,49,762,SALARIED,0
228838442383,31,773,SALARIED,33739
228838442714,33,763,SALARIED,20000
228839647436,40,760,SALARIED,16000
228940455833,35,787,SALARIED,46871
228942966152,38,763,SALARIED,21000
229635010487,26,755,SALARIED,0
229636402782,37,753,SALARIED,97000
229640425976,28,771,SALARIED,15000
229664579468,31,786,SALARIED,0
229711674944,28,818,SALARIED,74412
229762792684,55,759,SALARIED,25000